Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Angola,Africa,97594,296.943,3319,10.098,331,1891,5.754,21,0.064,3
Guadeloupe,Americas,90749,22680.219,17089,4270.926,0,844,210.935,9,2.249,0
Democratic Republic of the Congo,Africa,84877,94.77,1893,2.114,117,1278,1.427,0,0,0
Senegal,Africa,84453,504.38,1279,7.639,79,1933,11.544,21,0.125,4
Malawi,Africa,84013,439.17,1038,5.426,86,2534,13.246,54,0.282,6
Côte d’Ivoire,Africa,80363,304.656,928,3.518,114,782,2.965,19,0.072,3
Martinique,Americas,77075,20538.819,8144,2170.2,0,821,218.779,8,2.132,0
French Guiana,Americas,74563,24964.009,4080,1366.001,872,363,121.534,11,3.683,2
Suriname,Americas,70937,12092.249,5655,963.977,863,1242,211.717,26,4.432,3
Mauritius,Africa,70514,5544.565,552,43.404,74,786,61.804,0,0,0
Eswatini,Africa,68164,5875.376,229,19.739,46,1370,118.087,5,0.431,0
Malta,Europe,66391,12902.379,2017,391.982,323,536,104.166,27,5.247,2
Fiji,Western Pacific,61968,6912.638,1806,201.462,0,779,86.899,33,3.681,0
Iceland,Europe,61737,16954.473,10496,2882.455,1641,45,12.358,1,0.275,0
Mauritania,Africa,57648,1239.833,1790,38.497,168,934,20.087,23,0.495,2
Guyana,Americas,57400,7297.674,6197,787.869,173,1138,144.682,43,5.467,4
Madagascar,Africa,57375,207.197,1548,5.59,0,1223,4.417,54,0.195,0
Sudan,Eastern Mediterranean,56595,129.067,2636,6.012,0,3411,7.779,18,0.041,0
Cabo Verde,Africa,55471,9977.032,834,150.004,70,392,70.505,12,2.158,1
Syrian Arab Republic,Eastern Mediterranean,51075,291.846,291,1.663,46,2974,16.994,21,0.12,3
French Polynesia,Western Pacific,47794,17014.111,519,184.758,0,636,226.409,0,0,0
Belize,Americas,47147,11857.062,5280,1327.874,1394,622,156.428,11,2.766,6
Gabon,Africa,46198,2075.63,793,35.629,0,300,13.479,1,0.045,0
Barbados,Americas,39709,13817.834,3323,1156.329,497,276,96.042,5,1.74,1
Burundi,Africa,37170,312.595,385,3.238,32,14,0.118,0,0,0
Papua New Guinea,Western Pacific,36570,408.739,115,1.285,22,597,6.673,0,0,0
Togo,Africa,36372,439.343,316,3.817,49,267,3.225,4,0.048,0
Mayotte,Africa,36166,13256.602,977,358.118,200,187,68.545,1,0.367,0
Curaçao,Americas,36092,21994.844,2150,1310.233,214,216,131.633,10,6.094,0
Guinea,Africa,35951,273.75,349,2.657,94,416,3.168,8,0.061,2
Seychelles,Africa,35606,36204.46,2756,2802.322,0,136,138.286,3,3.05,0
Andorra,Europe,34701,44911.668,4120,5332.298,1676,145,187.666,1,1.294,1
United Republic of Tanzania,Africa,32920,55.111,527,0.882,527,778,1.302,25,0.042,25
Aruba,Americas,32405,30351.423,1728,1618.493,83,193,180.769,9,8.43,2
Bahamas,Americas,32238,8197.964,862,219.202,101,731,185.89,12,3.052,2
Lesotho,Africa,32049,1496.045,179,8.356,0,690,32.209,2,0.093,0
Mali,Africa,29859,147.446,819,4.044,116,709,3.501,17,0.084,2
Jersey,Europe,28786,26704.145,2050,1901.74,385,99,91.84,7,6.494,3
Haiti,Americas,28561,250.48,311,2.727,0,783,6.867,3,0.026,0
Benin,Africa,26450,218.177,141,1.163,141,163,1.345,0,0,0
Somalia,Eastern Mediterranean,24322,153.034,61,0.384,0,1335,8.4,0,0,0
Congo,Africa,23485,425.6,241,4.367,0,371,6.723,0,0,0
Guam,Western Pacific,22583,13380.536,3435,2035.254,140,282,167.086,8,4.74,2
Isle of Man,Europe,20861,24533.117,682,802.051,150,70,82.322,0,0,0
Burkina Faso,Africa,20514,98.138,265,1.268,0,353,1.689,14,0.067,0
Timor-Leste,South-East Asia,19879,1507.761,13,0.986,8,122,9.253,0,0,0
Saint Lucia,Americas,19755,10758.222,2089,1137.632,75,324,176.445,10,5.446,8
Tajikistan,Europe,17627,184.815,134,1.405,18,125,1.311,0,0,0
New Caledonia,Western Pacific,16762,5871.144,2469,864.805,626,283,99.125,1,0.35,1
South Sudan,Africa,16752,149.655,145,1.295,14,137,1.224,1,0.009,0
Brunei Darussalam,Western Pacific,16179,3698.235,222,50.745,31,59,13.486,0,0,0
Faroe Islands,Europe,15778,32288.959,4465,9137.419,913,17,34.79,2,4.093,0
Equatorial Guinea,Africa,15732,1121.323,240,17.106,0,181,12.901,3,0.214,0
Djibouti,Eastern Mediterranean,15372,1555.87,283,28.644,23,189,19.13,0,0,0
New Zealand,Western Pacific,15369,318.711,495,10.265,59,52,1.078,0,0,0
United States Virgin Islands,Americas,14521,13905.674,620,593.728,43,97,92.89,3,2.873,0
Central African Republic,Africa,13840,286.556,521,10.787,331,109,2.257,1,0.021,0
Cayman Islands,Americas,13734,20897.748,0,0,0,15,22.824,0,0,0
Nicaragua,Americas,13681,206.52,35,0.528,35,220,3.321,1,0.015,1
Gibraltar,Europe,12103,35923.54,1039,3083.91,166,100,296.815,0,0,0
San Marino,Europe,11995,35343.862,1125,3314.868,209,109,321.174,6,17.679,1
Grenada,Americas,11666,10367.658,1965,1746.31,322,205,182.185,2,1.777,0
Gambia,Africa,11572,478.841,0,0,0,347,14.359,0,0,0
Guernsey,Europe,10842,16817.646,333,516.535,91,30,46.535,0,0,0
Yemen,Eastern Mediterranean,10821,36.28,372,1.247,236,2000,6.706,8,0.027,5
Bermuda,Americas,10262,16479.052,1118,1795.321,496,114,183.065,4,6.423,2
Greenland,Europe,10028,17663.637,1238,2180.652,205,4,7.046,2,3.523,0
Eritrea,Africa,9390,264.774,305,8.6,58,95,2.679,6,0.169,0
Saint Vincent and the Grenadines,Americas,9385,8459.528,220,198.305,0,92,82.928,3,2.704,0
Sint Maarten,Americas,9124,21276.993,444,1035.399,48,79,184.226,4,9.328,1
Saint Martin,Americas,8913,23055.433,1396,3611.061,0,41,106.056,1,2.587,0
Niger,Africa,8603,35.54,144,0.595,11,297,1.227,4,0.017,1
Dominica,Americas,8517,11830.645,364,505.619,0,49,68.064,1,1.389,0
Liechtenstein,Europe,8346,21539.732,633,1633.675,0,70,180.659,1,2.581,0
Comoros,Africa,7814,898.573,69,7.935,2,159,18.284,0,0,0
Monaco,Europe,7790,19850.168,847,2158.292,99,46,117.215,2,5.096,0
Sierra Leone,Africa,7593,95.186,49,0.614,3,125,1.567,0,0,0
Guinea-Bissau,Africa,7293,370.579,153,7.774,0,153,7.774,0,0,0
Liberia,Africa,7243,143.208,122,2.412,0,289,5.714,2,0.04,0
Chad,Africa,7075,43.072,186,1.132,0,190,1.157,5,0.03,0
Bonaire,Americas,6031,28835.764,726,3471.193,62,26,124.313,0,0,0
Antigua and Barbuda,Americas,6023,6150.374,677,691.317,92,122,124.58,1,1.021,0
Sao Tome and Principe,Africa,5849,2668.839,215,98.102,13,69,31.484,3,1.369,0
British Virgin Islands,Americas,5809,19211.562,360,1190.594,160,49,162.053,2,6.614,2
Turks and Caicos Islands,Americas,5570,14386.074,460,1188.078,0,34,87.814,4,10.331,0
Saint Kitts and Nevis,Americas,5303,9969.544,277,520.755,33,32,60.159,4,7.52,4
Northern Mariana Islands (Commonwealth of the),Western Pacific,4344,7547.301,330,573.345,79,22,38.223,1,1.737,0
Bhutan,South-East Asia,4089,529.932,860,111.456,138,3,0.389,0,0,0
Saint Barthélemy,Americas,3218,32554.375,266,2690.946,0,4,40.465,0,0,0
Anguilla,Americas,2270,15131.316,161,1073.19,83,7,46.66,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Palau,Western Pacific,757,4184.17,590,3261.11,106,0,0,0,0,0
Solomon Islands,Western Pacific,676,98.415,643,93.611,174,2,0.291,2,0.291,1
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,438,7558.24,183,3157.895,0,0,0,0,0,0
Sint Eustatius,Americas,308,9812.042,47,1497.292,26,1,31.857,1,31.857,0
Saba,Americas,199,10294.878,11,569.064,0,0,0,0,0,0
Montserrat,Americas,158,3160.632,12,240.048,3,1,20.004,0,0,0
Kiribati,Western Pacific,89,74.509,52,43.533,23,0,0,0,0,0
Falkland Islands (Malvinas),Americas,86,2469.136,1,28.711,0,0,0,0,0,0
Samoa,Western Pacific,28,14.112,26,13.104,6,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,18,32.61,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
